Gene name	Human gene stable ID	Human gene name	Query protein or transcript ID	Human homology type	Human orthology confidence [0 low, 1 high]
ANO1	ENSG00000131620	ANO1	ENSTGUP00000005601	ortholog_one2one	1
DEAF1	ENSG00000177030	DEAF1	ENSTGUP00000023311	ortholog_one2one	1
					
KCTD20	ENSG00000112078	KCTD20	ENSTGUP00000000944	ortholog_one2one	1
					
PSMB4	ENSG00000159377	PSMB4	ENSTGUP00000017675	ortholog_one2one	1
	ENSG00000033800	PIAS1	ENSTGUP00000009884	ortholog_one2many	1
	ENSG00000129351	ILF3	ENSTGUP00000026801	ortholog_one2many	1
	ENSG00000273696	CT45A7	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000269586	CT45A10	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000278289	CT45A6	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000269096	CT45A3	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000270946	CT45A9	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000278085	CT45A8	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000165359	INTS6L	ENSTGUP00000003003	ortholog_one2many	1
	ENSG00000228836	CT45A5	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000268940	CT45A1	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000271449	CT45A2	ENSTGUP00000003003	ortholog_one2many	0
	ENSG00000181433	SAGE1	ENSTGUP00000003003	ortholog_one2many	0
PPIF	ENSG00000108179	PPIF	ENSTGUP00000038548	ortholog_one2one	1
ZNF335	ENSG00000198026	ZNF335	ENSTGUP00000006168	ortholog_one2one	1
					
ZDHHC12	ENSG00000160446	ZDHHC12	ENSTGUP00000030600	ortholog_one2one	1
	ENSG00000182853	VMO1	ENSTGUP00000036848	ortholog_one2one	0
NUDCD3	ENSG00000015676	NUDCD3	ENSTGUP00000003561	ortholog_one2one	1
	ENSG00000182134	TDRKH	ENSTGUP00000029295	ortholog_one2many	0
FAT2	ENSG00000086570	FAT2	ENSTGUP00000000797	ortholog_one2one	1
CYP2U1	ENSG00000155016	CYP2U1	ENSTGUP00000004113	ortholog_one2one	1
					
MIR124-1	ENSG00000284321	MIR124-1	ENSTGUT00000018522	ortholog_one2one	1
					
TC2N	ENSG00000165929	TC2N	ENSTGUP00000036734	ortholog_one2one	1
PDLIM1	ENSG00000107438	PDLIM1	ENSTGUP00000007359	ortholog_one2one	1
RND2	ENSG00000108830	RND2	ENSTGUP00000038333	ortholog_one2one	1
HSPD1	ENSG00000144381	HSPD1	ENSTGUP00000010873	ortholog_one2one	1
CALD1	ENSG00000122786	CALD1	ENSTGUP00000012813	ortholog_one2one	1
					
					
					
	ENSG00000137343	ATAT1	ENSTGUP00000037767	ortholog_one2many	1
tgu-mir-1329					
					
					
CDKN3	ENSG00000100526	CDKN3	ENSTGUP00000020144	ortholog_one2one	1
					
RHPN1	ENSG00000158106	RHPN1	ENSTGUP00000013115	ortholog_one2one	1
	ENSG00000129007	CALML4	ENSTGUP00000026252	ortholog_one2many	1
GNA11	ENSG00000088256	GNA11	ENSTGUP00000000559	ortholog_one2one	1
					
RASA2	ENSG00000155903	RASA2	ENSTGUP00000008666	ortholog_one2one	1
ZFR	ENSG00000056097	ZFR	ENSTGUP00000031481	ortholog_one2one	1
	ENSG00000213638	ADAT3	ENSTGUP00000023594	ortholog_one2one	0
					
ZER1	ENSG00000160445	ZER1	ENSTGUP00000004290	ortholog_one2one	1
SLC20A1	ENSG00000144136	SLC20A1	ENSTGUP00000003539	ortholog_one2one	1
MGAT4C	ENSG00000182050	MGAT4C	ENSTGUP00000008173	ortholog_one2one	1
					
	ENSG00000288649	ACTL10	ENSTGUP00000023647	ortholog_one2one	0
					
MSRA	ENSG00000175806	MSRA	ENSTGUP00000013712	ortholog_one2one	1
ZMIZ1	ENSG00000108175	ZMIZ1	ENSTGUP00000006567	ortholog_one2one	1
LRRTM1	ENSG00000162951	LRRTM1	ENSTGUP00000011265	ortholog_one2one	1
					
					
	ENSG00000182134	TDRKH	ENSTGUP00000038224	ortholog_one2many	0
BMP4	ENSG00000125378	BMP4	ENSTGUP00000024660	ortholog_one2one	1
SGMS2	ENSG00000164023	SGMS2	ENSTGUP00000004090	ortholog_one2one	1
					
VAT1	ENSG00000108828	VAT1	ENSTGUP00000026300	ortholog_one2one	1
FOXP4	ENSG00000137166	FOXP4	ENSTGUP00000029697	ortholog_one2one	1
PIGV	ENSG00000060642	PIGV	ENSTGUP00000001018	ortholog_one2one	1
					
					
TLK2	ENSG00000146872	TLK2	ENSTGUP00000029361	ortholog_one2one	1
AHR	ENSG00000106546	AHR	ENSTGUP00000002665	ortholog_one2one	1
ARHGAP45	ENSG00000180448	ARHGAP45	ENSTGUP00000000948	ortholog_one2one	1
MINDY2	ENSG00000128923	MINDY2	ENSTGUP00000006240	ortholog_one2one	1
					
					
	ENSG00000167755	KLK6	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000092009	CMA1	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000100448	CTSG	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000100453	GZMB	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000172232	AZU1	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000100450	GZMH	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000167759	KLK13	ENSTGUP00000017940	ortholog_many2many	0
	ENSG00000073712	FERMT2	ENSTGUP00000018460	ortholog_one2many	1
					
PLEKHG3	ENSG00000126822	PLEKHG3	ENSTGUP00000037729	ortholog_one2one	1
					
	ENSG00000204564	C6orf136	ENSTGUP00000018995	ortholog_one2many	0
	ENSG00000178999	AURKB	ENSTGUP00000028252	ortholog_one2many	0
COQ10B	ENSG00000115520	COQ10B	ENSTGUP00000010879	ortholog_one2one	1
TBC1D13	ENSG00000107021	TBC1D13	ENSTGUP00000004310	ortholog_one2one	1
					
					
					
	ENSG00000128973	CLN6	ENSTGUP00000028287	ortholog_one2many	1
CBFA2T2	ENSG00000078699	CBFA2T2	ENSTGUP00000003908	ortholog_one2one	1
					
					
SUCLG1	ENSG00000163541	SUCLG1	ENSTGUP00000029291	ortholog_one2one	1
					
ZDHHC18	ENSG00000204160	ZDHHC18	ENSTGUP00000001017	ortholog_one2one	1
GRK7	ENSG00000114124	GRK7	ENSTGUP00000035585	ortholog_one2one	1
NOL10	ENSG00000115761	NOL10	ENSTGUP00000013440	ortholog_one2one	1
MAFA	ENSG00000182759	MAFA	ENSTGUP00000013116	ortholog_one2one	1
	ENSG00000167755	KLK6	ENSTGUP00000000549	ortholog_many2many	0
	ENSG00000092009	CMA1	ENSTGUP00000000549	ortholog_many2many	0
	ENSG00000100448	CTSG	ENSTGUP00000000549	ortholog_many2many	1
	ENSG00000100453	GZMB	ENSTGUP00000000549	ortholog_many2many	1
	ENSG00000172232	AZU1	ENSTGUP00000000549	ortholog_many2many	0
	ENSG00000100450	GZMH	ENSTGUP00000000549	ortholog_many2many	1
	ENSG00000167759	KLK13	ENSTGUP00000000549	ortholog_many2many	0
FASLG	ENSG00000117560	FASLG	ENSTGUP00000017541	ortholog_one2one	1
	ENSG00000253649	PRSS51	ENSTGUP00000013711	ortholog_one2one	0
	ENSG00000204287	HLA-DRA	ENSTGUP00000036007	ortholog_one2many	0
SNORA66	ENSG00000207523	SNORA66	ENSTGUT00000018288	ortholog_one2one	1
					
PAPSS1	ENSG00000138801	PAPSS1	ENSTGUP00000004074	ortholog_one2one	1
TMC1	ENSG00000165091	TMC1	ENSTGUP00000000839	ortholog_one2one	1
TMEM80	ENSG00000177042	TMEM80	ENSTGUP00000019211	ortholog_one2one	1
					
FBLN5	ENSG00000140092	FBLN5	ENSTGUP00000012926	ortholog_one2one	1
					
SFR1	ENSG00000156384	SFR1	ENSTGUP00000037324	ortholog_one2one	1
					
ENDOG	ENSG00000167136	ENDOG	ENSTGUP00000004314	ortholog_one2one	1
	ENSG00000170004	CHD3	ENSTGUP00000032892	ortholog_one2many	0
	ENSG00000125414	MYH2	ENSTGUP00000024844	ortholog_one2many	1
					
S1PR4	ENSG00000125910	S1PR4	ENSTGUP00000028709	ortholog_one2one	1
					
SUB1	ENSG00000113387	SUB1	ENSTGUP00000035577	ortholog_one2one	1
ADAM10	ENSG00000137845	ADAM10	ENSTGUP00000006279	ortholog_one2one	1
HROB	ENSG00000125319	HROB	ENSTGUP00000019095	ortholog_one2one	1
	ENSG00000169018	FEM1B	ENSTGUP00000019233	ortholog_one2many	1
SFN	ENSG00000175793	SFN	ENSTGUP00000018061	ortholog_one2one	1
PPIC	ENSG00000168938	PPIC	ENSTGUP00000036234	ortholog_one2one	1
HELLS	ENSG00000119969	HELLS	ENSTGUP00000019654	ortholog_one2one	1
	ENSG00000243284	VSIG8	ENSTGUP00000025054	ortholog_one2one	0
RLIG1	ENSG00000133641	RLIG1	ENSTGUP00000008197	ortholog_one2one	1
					
SF3B1	ENSG00000115524	SF3B1	ENSTGUP00000020022	ortholog_one2one	1
	ENSG00000197181	PIWIL2	ENSTGUP00000036315	ortholog_one2many	1
					
NT5DC4	ENSG00000144130	NT5DC4	ENSTGUP00000003515	ortholog_one2one	1
	ENSG00000185085	INTS5	ENSTGUP00000036620	ortholog_one2many	1
					
ATP1B3	ENSG00000069849	ATP1B3	ENSTGUP00000008695	ortholog_one2one	1
	ENSG00000183638	RP1L1	ENSTGUP00000031659	ortholog_one2one	0
CRABP2	ENSG00000143320	CRABP2	ENSTGUP00000031887	ortholog_one2one	1
EDN3	ENSG00000124205	EDN3	ENSTGUP00000033709	ortholog_one2one	1
POLR2E	ENSG00000099817	POLR2E	ENSTGUP00000000943	ortholog_one2one	1
					
	ENSG00000100523	DDHD1	ENSTGUP00000035635	ortholog_one2many	1
SNX13	ENSG00000071189	SNX13	ENSTGUP00000002682	ortholog_one2one	1
MOSPD1	ENSG00000101928	MOSPD1	ENSTGUP00000021891	ortholog_one2one	1
					
MYOG	ENSG00000122180	MYOG	ENSTGUP00000035118	ortholog_one2one	1
					
NCLN	ENSG00000125912	NCLN	ENSTGUP00000000533	ortholog_one2one	1
SPOUT1	ENSG00000198917	SPOUT1	ENSTGUP00000004325	ortholog_one2one	1
					
					
					
TADA1	ENSG00000152382	TADA1	ENSTGUP00000020109	ortholog_one2one	1
GPN2	ENSG00000142751	GPN2	ENSTGUP00000026490	ortholog_one2one	1
	ENSG00000206597	SNORA57	ENSTGUT00000037651	ortholog_one2many	0
BPGM	ENSG00000172331	BPGM	ENSTGUP00000019974	ortholog_one2one	1
					
					
SNORD92	ENSG00000264994	SNORD92	ENSTGUT00000034457	ortholog_one2one	1
RPIA	ENSG00000153574	RPIA	ENSTGUP00000011235	ortholog_one2one	1
					
MUSK	ENSG00000030304	MUSK	ENSTGUP00000001342	ortholog_one2one	1
ZC3H3	ENSG00000014164	ZC3H3	ENSTGUP00000024666	ortholog_one2one	1
					
ISG20L2	ENSG00000143319	ISG20L2	ENSTGUP00000034058	ortholog_one2one	1
					
	ENSG00000143375	CGN	ENSTGUP00000022671	ortholog_one2one	0
TRIP11	ENSG00000100815	TRIP11	ENSTGUP00000033388	ortholog_one2one	1
					
SNORD53	ENSG00000265145	SNORD53	ENSTGUT00000022169	ortholog_one2one	1
ETV7	ENSG00000010030	ETV7	ENSTGUP00000027372	ortholog_one2one	1
KIAA1328	ENSG00000150477	KIAA1328	ENSTGUP00000001701	ortholog_one2one	1
SPARC	ENSG00000113140	SPARC	ENSTGUP00000000791	ortholog_one2one	1
TFDP2	ENSG00000114126	TFDP2	ENSTGUP00000025217	ortholog_one2one	1
SOX7	ENSG00000171056	SOX7	ENSTGUP00000013705	ortholog_one2one	1
GIMD1	ENSG00000250298	GIMD1	ENSTGUP00000004037	ortholog_one2one	1
CFAP43	ENSG00000197748	CFAP43	ENSTGUP00000010758	ortholog_one2one	1
UBXN1	ENSG00000162191	UBXN1	ENSTGUP00000030022	ortholog_one2one	1
					
PRELID3B	ENSG00000101166	PRELID3B	ENSTGUP00000008269	ortholog_one2one	1
	ENSG00000169607	CKAP2L	ENSTGUP00000038070	ortholog_one2one	0
METTL25B	ENSG00000143303	METTL25B	ENSTGUP00000028599	ortholog_one2one	1
KYAT1	ENSG00000171097	KYAT1	ENSTGUP00000004347	ortholog_one2one	1
NPR3	ENSG00000113389	NPR3	ENSTGUP00000001980	ortholog_one2one	1
GLB1L	ENSG00000163521	GLB1L	ENSTGUP00000032235	ortholog_one2one	1
					
	ENSG00000101489	CELF4	ENSTGUP00000000526	ortholog_one2one	0
ADORA1	ENSG00000163485	ADORA1	ENSTGUP00000038025	ortholog_one2one	1
CSTPP1	ENSG00000149179	CSTPP1	ENSTGUP00000023390	ortholog_one2one	1
PCARE	ENSG00000179270	PCARE	ENSTGUP00000026472	ortholog_one2one	1
					
SNTA1	ENSG00000101400	SNTA1	ENSTGUP00000038568	ortholog_one2one	1
EPS8L2	ENSG00000177106	EPS8L2	ENSTGUP00000007433	ortholog_one2one	1
					
	ENSG00000220205	VAMP2	ENSTGUP00000028831	ortholog_one2one	0
PRDX6	ENSG00000117592	PRDX6	ENSTGUP00000028814	ortholog_one2one	1
					
AIMP1	ENSG00000164022	AIMP1	ENSTGUP00000004034	ortholog_one2one	1
MRPL24	ENSG00000143314	MRPL24	ENSTGUP00000017653	ortholog_one2one	1
PINX1	ENSG00000254093	PINX1	ENSTGUP00000024198	ortholog_one2one	1
IL1B	ENSG00000125538	IL1B	ENSTGUP00000003479	ortholog_one2one	1
RPS24	ENSG00000138326	RPS24	ENSTGUP00000024871	ortholog_one2one	1
	ENSG00000137809	ITGA11	ENSTGUP00000009953	ortholog_one2many	1
					
LIPC	ENSG00000166035	LIPC	ENSTGUP00000006311	ortholog_one2one	1
					
CLMP	ENSG00000166250	CLMP	ENSTGUP00000031851	ortholog_one2one	1
LRRC8A	ENSG00000136802	LRRC8A	ENSTGUP00000026903	ortholog_one2one	1
AKR1B1	ENSG00000085662	AKR1B1	ENSTGUP00000029844	ortholog_one2one	1
					
AJAP1	ENSG00000196581	AJAP1	ENSTGUP00000034433	ortholog_one2one	1
SBNO2	ENSG00000064932	SBNO2	ENSTGUP00000022130	ortholog_one2one	1
PCIF1	ENSG00000100982	PCIF1	ENSTGUP00000006204	ortholog_one2one	1
					
	ENSG00000106397	PLOD3	ENSTGUP00000026977	ortholog_one2one	0
SRMS	ENSG00000125508	SRMS	ENSTGUP00000007631	ortholog_one2one	1
TPGS2	ENSG00000134779	TPGS2	ENSTGUP00000001704	ortholog_one2one	1
					
GK5	ENSG00000175066	GK5	ENSTGUP00000008744	ortholog_one2one	1
					
TBCK	ENSG00000145348	TBCK	ENSTGUP00000004017	ortholog_one2one	1
SNX2	ENSG00000205302	SNX2	ENSTGUP00000001167	ortholog_one2one	1
HSD11B1L	ENSG00000167733	HSD11B1L	ENSTGUP00000000520	ortholog_one2one	1
					
	ENSG00000064270	ATP2C2	ENSTGUP00000037320	ortholog_one2many	1
GPATCH3	ENSG00000198746	GPATCH3	ENSTGUP00000025583	ortholog_one2one	1
					
HDGF	ENSG00000143321	HDGF	ENSTGUP00000032578	ortholog_one2one	1
	ENSG00000143252	SDHC	ENSTGUP00000038575	ortholog_one2one	0
ODC1	ENSG00000115758	ODC1	ENSTGUP00000030558	ortholog_one2one	1
					
	ENSG00000168000	BSCL2	ENSTGUP00000032931	ortholog_one2many	1
RALBP1	ENSG00000017797	RALBP1	ENSTGUP00000038013	ortholog_one2one	1
ANKRD44	ENSG00000065413	ANKRD44	ENSTGUP00000036340	ortholog_one2one	1
UNK	ENSG00000132478	UNK	ENSTGUP00000028584	ortholog_one2one	1
	ENSG00000180316	PNPLA1	ENSTGUP00000000933	ortholog_one2many	0
ZNF831	ENSG00000124203	ZNF831	ENSTGUP00000029213	ortholog_one2one	1
					
TFEB	ENSG00000112561	TFEB	ENSTGUP00000028648	ortholog_one2one	1
PHYHD1	ENSG00000175287	PHYHD1	ENSTGUP00000004371	ortholog_one2one	1
AQP9	ENSG00000103569	AQP9	ENSTGUP00000006336	ortholog_one2one	1
NPHP4	ENSG00000131697	NPHP4	ENSTGUP00000002793	ortholog_one2one	1
MYBPH	ENSG00000133055	MYBPH	ENSTGUP00000019595	ortholog_one2one	1
ZNHIT1	ENSG00000106400	ZNHIT1	ENSTGUP00000023471	ortholog_one2one	1
					
TARS1	ENSG00000113407	TARS1	ENSTGUP00000028680	ortholog_one2one	1
	ENSG00000156500	PABIR3	ENSTGUP00000003016	ortholog_one2many	1
	ENSG00000187866	PABIR1	ENSTGUP00000003016	ortholog_one2many	0
CLIP4	ENSG00000115295	CLIP4	ENSTGUP00000025588	ortholog_one2one	1
					
					
					
	ENSG00000165269	AQP7	ENSTGUP00000001711	ortholog_one2many	1
	ENSG00000259916	AQP7B	ENSTGUP00000001711	ortholog_one2many	1
	ENSG00000125534	PPDPF	ENSTGUP00000007632	ortholog_one2many	1
	ENSG00000168333	PPDPFL	ENSTGUP00000007632	ortholog_one2many	0
MICOS13	ENSG00000174917	MICOS13	ENSTGUP00000000516	ortholog_one2one	1
					
CEP290	ENSG00000198707	CEP290	ENSTGUP00000020454	ortholog_one2one	1
					
TUBB1	ENSG00000101162	TUBB1	ENSTGUP00000029449	ortholog_one2one	1
	ENSG00000123594	ATXN3L	ENSTGUP00000026897	ortholog_one2many	1
	ENSG00000066427	ATXN3	ENSTGUP00000026897	ortholog_one2many	1
TOX2	ENSG00000124191	TOX2	ENSTGUP00000003917	ortholog_one2one	1
OGDH	ENSG00000105953	OGDH	ENSTGUP00000036811	ortholog_one2one	1
					
					
MIEN1	ENSG00000141741	MIEN1	ENSTGUP00000035539	ortholog_one2one	0
					
					
	ENSG00000129353	SLC44A2	ENSTGUP00000023687	ortholog_one2many	1
CHRNA3	ENSG00000080644	CHRNA3	ENSTGUP00000003582	ortholog_one2one	1
					
					
	ENSG00000068079	IFI35	ENSTGUP00000018847	ortholog_one2one	0
FAM78B	ENSG00000188859	FAM78B	ENSTGUP00000017535	ortholog_one2one	1
STK11	ENSG00000118046	STK11	ENSTGUP00000000924	ortholog_one2one	1
TWSG1	ENSG00000128791	TWSG1	ENSTGUP00000010145	ortholog_one2one	1
					
DOLK	ENSG00000175283	DOLK	ENSTGUP00000004373	ortholog_one2one	1
XRN1	ENSG00000114127	XRN1	ENSTGUP00000008779	ortholog_one2one	1
EIF2AK3	ENSG00000172071	EIF2AK3	ENSTGUP00000011229	ortholog_one2one	1
G3BP1	ENSG00000145907	G3BP1	ENSTGUP00000000779	ortholog_one2one	1
					
HPCAL1	ENSG00000115756	HPCAL1	ENSTGUP00000013431	ortholog_one2one	1
XKR6	ENSG00000171044	XKR6	ENSTGUP00000013703	ortholog_one2one	1
					
					
CHRNB4	ENSG00000117971	CHRNB4	ENSTGUP00000024305	ortholog_one2one	1
Y_RNA	ENSG00000206806	Y_RNA	ENSTGUT00000018796	ortholog_one2one	0
MPZ	ENSG00000158887	MPZ	ENSTGUP00000022216	ortholog_one2one	1
BUB1B	ENSG00000156970	BUB1B	ENSTGUP00000034845	ortholog_one2one	1
					
PLTP	ENSG00000100979	PLTP	ENSTGUP00000024073	ortholog_one2one	1
PRCC	ENSG00000143294	PRCC	ENSTGUP00000020113	ortholog_one2one	1
GSTO1	ENSG00000148834	GSTO1	ENSTGUP00000038649	ortholog_one2one	1
PLPP6	ENSG00000205808	PLPP6	ENSTGUP00000031366	ortholog_one2one	1
	ENSG00000234465	PINLYP	ENSTGUP00000001714	ortholog_one2many	0
	ENSG00000259823	LYPD8	ENSTGUP00000001714	ortholog_one2many	0
	ENSG00000160633	SAFB	ENSTGUP00000000515	ortholog_one2many	1
CTSZ	ENSG00000101160	CTSZ	ENSTGUP00000008284	ortholog_one2one	1
LRP4	ENSG00000134569	LRP4	ENSTGUP00000010903	ortholog_one2one	1
HSPA8	ENSG00000109971	HSPA8	ENSTGUP00000000503	ortholog_one2one	1
NPNT	ENSG00000168743	NPNT	ENSTGUP00000003982	ortholog_one2one	1
EEF1A2	ENSG00000101210	EEF1A2	ENSTGUP00000007645	ortholog_one2one	1
CBARP	ENSG00000099625	CBARP	ENSTGUP00000000918	ortholog_one2one	1
ALDH1A2	ENSG00000128918	ALDH1A2	ENSTGUP00000031661	ortholog_one2one	1
					
					
NR0B2	ENSG00000131910	NR0B2	ENSTGUP00000001007	ortholog_one2one	1
RPL27	ENSG00000131469	RPL27	ENSTGUP00000002932	ortholog_one2one	1
OvoDB1					
					
					
ANKRD12	ENSG00000101745	ANKRD12	ENSTGUP00000027610	ortholog_one2one	1
	ENSG00000180316	PNPLA1	ENSTGUP00000000928	ortholog_one2many	0
LPAR1	ENSG00000198121	LPAR1	ENSTGUP00000022477	ortholog_one2one	1
NDUFB1	ENSG00000183648	NDUFB1	ENSTGUP00000012937	ortholog_one2one	1
					
					
UBE2Q2	ENSG00000140367	UBE2Q2	ENSTGUP00000032566	ortholog_one2one	1
DNAJB2	ENSG00000135924	DNAJB2	ENSTGUP00000030202	ortholog_one2one	1
					
HDAC5	ENSG00000108840	HDAC5	ENSTGUP00000027470	ortholog_one2one	1
TOMM40L	ENSG00000158882	TOMM40L	ENSTGUP00000032177	ortholog_one2one	1
NUP160	ENSG00000030066	NUP160	ENSTGUP00000007845	ortholog_one2one	1
NELFCD	ENSG00000101158	NELFCD	ENSTGUP00000008319	ortholog_one2one	1
POLR3A	ENSG00000148606	POLR3A	ENSTGUP00000031249	ortholog_one2one	1
NUDC	ENSG00000090273	NUDC	ENSTGUP00000001004	ortholog_one2one	1
					
PABIR2	ENSG00000156504	PABIR2	ENSTGUP00000025337	ortholog_one2one	1
					
					
	ENSG00000132518	GUCY2D	ENSTGUP00000024748	ortholog_one2many	0
					
ITPRIP	ENSG00000148841	ITPRIP	ENSTGUP00000023935	ortholog_one2one	1
RRM2	ENSG00000171848	RRM2	ENSTGUP00000013430	ortholog_one2one	1
ZP4	ENSG00000116996	ZP4	ENSTGUP00000007401	ortholog_one2one	1
AQP3	ENSG00000165272	AQP3	ENSTGUP00000001721	ortholog_one2one	1
					
YPEL5	ENSG00000119801	YPEL5	ENSTGUP00000025881	ortholog_one2one	1
					
					
PGAP1	ENSG00000197121	PGAP1	ENSTGUP00000010957	ortholog_one2one	1
					
					
CPSF2	ENSG00000165934	CPSF2	ENSTGUP00000012947	ortholog_one2one	1
					
PRRG1	ENSG00000130962	PRRG1	ENSTGUP00000032289	ortholog_one2one	1
FMO5	ENSG00000131781	FMO5	ENSTGUP00000021932	ortholog_one2one	1
					
	ENSG00000105197	TIMM50	ENSTGUP00000023702	ortholog_one2many	1
EDEM2	ENSG00000088298	EDEM2	ENSTGUP00000003924	ortholog_one2one	1
					
					
	ENSG00000132518	GUCY2D	ENSTGUP00000015875	ortholog_one2many	1
	ENSG00000027869	SH2D2A	ENSTGUP00000031606	ortholog_one2one	0
RUNDC1	ENSG00000198863	RUNDC1	ENSTGUP00000002930	ortholog_one2one	1
MIDN	ENSG00000167470	MIDN	ENSTGUP00000018414	ortholog_one2one	1
ZMIZ2	ENSG00000122515	ZMIZ2	ENSTGUP00000003388	ortholog_one2one	1
NUP188	ENSG00000095319	NUP188	ENSTGUP00000004431	ortholog_one2one	1
LBH	ENSG00000213626	LBH	ENSTGUP00000021030	ortholog_one2one	1
	ENSG00000086967	MYBPC2	ENSTGUP00000020888	ortholog_one2many	0
H3F3B	ENSG00000163041	H3-3A	ENSTGUP00000008564	ortholog_one2one	0
					
KDF1	ENSG00000175707	KDF1	ENSTGUP00000001000	ortholog_one2one	1
FNBP4	ENSG00000109920	FNBP4	ENSTGUP00000007860	ortholog_one2one	1
					
SNCAIP	ENSG00000064692	SNCAIP	ENSTGUP00000001174	ortholog_one2one	1
					
NDUFV2	ENSG00000178127	NDUFV2	ENSTGUP00000010189	ortholog_one2one	1
RASGEF1B	ENSG00000138670	RASGEF1B	ENSTGUP00000002973	ortholog_one2one	1
					
					
					
					
					
SNORD14	ENSG00000202252	SNORD14C	ENSTGUT00000043947	ortholog_one2one	1
CFAP58	ENSG00000120051	CFAP58	ENSTGUP00000010772	ortholog_one2one	1
NOL6	ENSG00000165271	NOL6	ENSTGUP00000001730	ortholog_one2one	1
					
					
					
GNAS	ENSG00000087460	GNAS	ENSTGUP00000024009	ortholog_one2one	1
					
SNORD14					
					
KCNAB2	ENSG00000069424	KCNAB2	ENSTGUP00000029578	ortholog_one2one	1
PTGES3L	ENSG00000267060	PTGES3L	ENSTGUP00000024757	ortholog_one2one	1
ADAMTS12	ENSG00000151388	ADAMTS12	ENSTGUP00000024866	ortholog_one2one	1
LANCL3	ENSG00000147036	LANCL3	ENSTGUP00000022101	ortholog_one2one	1
					
FADD	ENSG00000168040	FADD	ENSTGUP00000034889	ortholog_one2one	1
C2orf66	ENSG00000187944	C2orf66	ENSTGUP00000010959	ortholog_one2one	1
TRNP1	ENSG00000253368	TRNP1	ENSTGUP00000018358	ortholog_one2one	1
PPIA	ENSG00000289549	PPIAL4D	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000236334	PPIAL4G	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000288867	PPIAL4C	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000196262	PPIA	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000279782	PPIAL4F	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000271567	PPIAL4E	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000270339	PPIAL4H	ENSTGUP00000003364	ortholog_one2many	1
PPIA	ENSG00000263353	PPIAL4A	ENSTGUP00000003364	ortholog_one2many	1
KCNA3	ENSG00000177272	KCNA3	ENSTGUP00000026681	ortholog_one2one	1
ZNF475	ENSG00000250803	ZNF475	ENSTGUP00000001175	ortholog_one2one	1
					
SNORD14					
KLF11	ENSG00000172059	KLF11	ENSTGUP00000013428	ortholog_one2one	1
					
UFC1	ENSG00000143222	UFC1	ENSTGUP00000035783	ortholog_one2one	1
FOXI2	ENSG00000186766	FOXI2	ENSTGUP00000011200	ortholog_one2one	1
MTMR9	ENSG00000104643	MTMR9	ENSTGUP00000013701	ortholog_one2one	1
					
					
	ENSG00000170043	TRAPPC1	ENSTGUP00000038184	ortholog_one2one	0
LCLAT1	ENSG00000172954	LCLAT1	ENSTGUP00000038531	ortholog_one2one	1
	ENSG00000011478	QPCTL	ENSTGUP00000026248	ortholog_one2many	1
ATR	ENSG00000175054	ATR	ENSTGUP00000008840	ortholog_one2one	1
					
					
	ENSG00000149541	B3GAT3	ENSTGUP00000030909	ortholog_one2many	1
XK	ENSG00000047597	XK	ENSTGUP00000026907	ortholog_one2one	1
BSX	ENSG00000188909	BSX	ENSTGUP00000000497	ortholog_one2one	1
TLE4	ENSG00000106829	TLE4	ENSTGUP00000003468	ortholog_one2one	1
TENT5B	ENSG00000158246	TENT5B	ENSTGUP00000000999	ortholog_one2one	1
FRS3	ENSG00000137218	FRS3	ENSTGUP00000017720	ortholog_one2one	1
					
GRHL1	ENSG00000134317	GRHL1	ENSTGUP00000013427	ortholog_one2one	1
	ENSG00000160633	SAFB	ENSTGUP00000000509	ortholog_one2many	0
CTSA	ENSG00000064601	CTSA	ENSTGUP00000006306	ortholog_one2one	1
THNSL2	ENSG00000144115	THNSL2	ENSTGUP00000011197	ortholog_one2one	1
GTF3C3	ENSG00000119041	GTF3C3	ENSTGUP00000010980	ortholog_one2one	1
					
	ENSG00000252640		ENSTGUT00000018699	ortholog_one2many	0
	ENSG00000239197		ENSTGUT00000018699	ortholog_one2many	0
	ENSG00000238835	SCARNA18	ENSTGUT00000018699	ortholog_one2many	1
	ENSG00000238410		ENSTGUT00000018699	ortholog_one2many	0
